OBJECTID,CECPlantID,PlantName,Retired Plant,Operator Company,County,Capacity_Latest,Units,PriEnergySource,StartDate,CEC_Jurisdictional,x,y
3009,S9156,Occidental College Solar Project,0,Not Available,Los Angeles,1.14,1,SUN,1/1/2013 0:00,0,-118.2068003,34.12819775
3020,H0412,Rio Hondo,0,Metropolitan Water District,Los Angeles,1.91,1,WAT,12/1/1993 0:00,0,-118.099259,34.00471669
3021,S0442,Pico Rivera,0,Not Available,Los Angeles,0.9,Unit 1,SUN,11/20/2015 0:00,0,-118.1032733,33.98225773
3028,H0437,San Dimas Hydro Recovery Plant,0,Metropolitan Water District,Los Angeles,9.92,1,WAT,3/1/1981 0:00,0,-117.7957469,34.12752855
3029,H0443,San Dimas Wash,0,San Gabriel Valley Municipal Water District,Los Angeles,1.05,UNIT 1,WAT,3/1/1986 0:00,0,-117.8050529,34.12416126
3034,S0221,Industry MetroLink PV 1,0,Intertie,Los Angeles,1.5,1,SUN,5/1/2012 0:00,0,-117.8448149,34.00957492
3035,S0527,Weymouth Solar Plant,0,Metropolitan Water District,Los Angeles,2.99,Unit 1,SUN,6/1/2016 0:00,0,-117.7835818,34.10776508
3036,S9258,United States Department of Agriculture  Forest Service,0,Not Available,Los Angeles,0.25,Unit 1,SUN,12/31/2014 0:00,0,-117.8003873,34.10580052
3039,S0709,Walnut High,0,Tesla Inc.,Los Angeles,1.23,91714744-CA,SUN,9/30/2019 0:00,0,-117.8511484,34.02270495
3041,S0118,SPVP002 Chino Rooftop Solar,0,Southern California Edison (SCE),San Bernardino,1.22,1,SUN,10/1/2009 0:00,0,-117.7008571,33.9850236
3042,S0199,SPVP032 Ontario - Kennedy 2,0,Southern California Edison (SCE),San Bernardino,1.74,1,SUN,12/22/2011 0:00,0,-117.5719071,34.03245462
3043,S0210,SS San Antonio West  LLC,0,Not Available,Riverside,1.87,Unit 1,SUN,6/14/2012 0:00,0,-117.6590519,33.96678
3044,S0433,Terra Francesco,0,Kona Solar LLC,San Bernardino,1.49,TF,SUN,3/1/2015 0:00,0,-117.6055603,34.03941056
3047,S9412,Jurupa Valley Solar PV,0,Sacramento PV Energy LLC,San Bernardino,1.5,1,SUN,1/3/2014 0:00,0,-117.5917674,34.05048439
3051,H0174,Etiwanda,0,Metropolitan Water District,San Bernardino,23.9,1,WAT,7/1/1994 0:00,0,-117.5256415,34.10341596
3053,S0128,SPVP003 Rialto,0,Southern California Edison (SCE),San Bernardino,1.22,1,SUN,3/1/2011 0:00,0,-117.4000275,34.09417251
3054,S0136,SPVP006 Ontario,0,Southern California Edison (SCE),San Bernardino,2.55,1,SUN,8/1/2011 0:00,0,-117.5713144,34.0416746
3055,S0186,SPVP008 Ontario,0,Southern California Edison (SCE),San Bernardino,2.85,1,SUN,12/30/2010 0:00,0,-117.5656733,34.04206147
3056,S0187,SPVP009 Ontario,0,Southern California Edison (SCE),San Bernardino,1.41,1,SUN,1/10/2011 0:00,0,-117.5705793,34.04298026
3057,S0188,SPVP010 Fontana (Etiwanda),0,Southern California Edison (SCE),San Bernardino,2.25,1,SUN,5/18/2011 0:00,0,-117.5171096,34.07485946
3058,S0191,SPVP015 Fontana (Etiwanda) includes SPVP001,0,Southern California Edison (SCE),San Bernardino,4.69,1,SUN,12/29/2010 0:00,0,-117.5167131,34.08022846
3059,S0193,SPVP017 Fontana (Etiwanda),0,Southern California Edison (SCE),San Bernardino,4.5,1,SUN,12/14/2011 0:00,0,-117.5129139,34.07344792
3060,S0194,SPVP018 Fontana (Etiwanda),0,Southern California Edison (SCE),San Bernardino,1.94,1,SUN,5/23/2011 0:00,0,-117.5166307,34.08399658
3061,S0196,SPVP023 Fontana (Etiwanda),0,Southern California Edison (SCE),San Bernardino,3.86,1,SUN,5/12/2011 0:00,0,-117.5202785,34.0801525
3062,S0197,SPVP026 Rialto,0,Southern California Edison (SCE),San Bernardino,8.6,1,SUN,8/26/2011 0:00,0,-117.4253426,34.13237676
3063,S0200,SPVP033 Ontario - Kennedy 3,0,Southern California Edison (SCE),San Bernardino,1.28,1,SUN,12/12/2011 0:00,0,-117.5686782,34.03263357
3064,S0227,SPVP027 Rialto,0,Southern California Edison (SCE),San Bernardino,2.62,1,SUN,11/27/2012 0:00,0,-117.4254829,34.12719917
3065,S0444,Tequesquite Landfill Solar PV Project,0,CD Arevon USA Inc.,Riverside,7.5,Unit 1,SUN,9/9/2015 0:00,0,-117.4102098,33.973504
3066,S0446,Rancho Cucamonga Distribution #1,0,Altus Power,San Bernardino,1.75,Unit 1,SUN,10/21/2014 0:00,0,-117.5536524,34.10010612
3067,S0447,SunE - Rochester,0,Not Available,San Bernardino,1,Unit 1,SUN,10/16/2015 0:00,0,-117.5444922,34.09791961
3068,S0448,SunE - Mira Loma,0,Not Available,Riverside,0.5,Unit 1,SUN,10/16/2015 0:00,0,-117.5173919,34.02855716
3069,S0449,SunE - Dupont Ontario,0,Not Available,San Bernardino,0.65,Unit 1,SUN,10/16/2015 0:00,0,-117.5532349,34.0451414
3070,S0453,SunE - E Philadelphia Ontario,0,Not Available,San Bernardino,1.3,Unit 1,SUN,10/16/2015 0:00,0,-117.5340928,34.03598615
3071,S0454,SunE - Jurupa Fontana,0,Not Available,San Bernardino,1.19,Unit 1,SUN,10/16/2015 0:00,0,-117.5190976,34.03895204
3072,S0572,Dulles,0,Golden Solar LLC (Dulles),Riverside,2,Unit 1,SUN,11/17/2016 0:00,0,-117.5174006,34.0297991
3075,S9167,SPVP012 Ontario,0,Southern California Edison (SCE),San Bernardino,0.5,1,SUN,1/1/2011 0:00,0,-117.5618612,34.04205018
3080,S9414,Champagne Solar PV,0,Sacramento PV Energy LLC,San Bernardino,1.23,1,SUN,1/3/2014 0:00,0,-117.5308103,34.04465571
3081,W0397,IEUA,0,Foundation Windpower,San Bernardino,1,WPRS 1,WND,6/1/2011 0:00,0,-117.5264425,34.08493964
3084,H0372,Ontario 1,0,Southern California Edison (SCE),San Bernardino,0.6,1,WAT,12/1/1902 0:00,0,-117.2567743,34.08436306
3085,H0373,Ontario 2,0,Southern California Edison (SCE),San Bernardino,0.32,1,WAT,6/1/1963 0:00,0,-117.2518212,34.08554416
3087,S0158,SPVP005 Redlands,0,Southern California Edison (SCE),San Bernardino,3.4,1,SUN,8/1/2011 0:00,0,-117.231104,34.08631759
3088,S0185,SPVP007 Redlands,0,Southern California Edison (SCE),San Bernardino,3.2,1,SUN,12/29/2010 0:00,0,-117.2280825,34.08636444
3089,S0189,SPVP011 Redlands RDC 4,0,Southern California Edison (SCE),San Bernardino,5.02,1,SUN,10/10/2011 0:00,0,-117.2410074,34.0760278
3090,S0190,SPVP013 Redlands,0,Southern California Edison (SCE),San Bernardino,4.93,1,SUN,9/15/2011 0:00,0,-117.234812,34.08353399
3091,S0192,SPVP016 Redlands,0,Southern California Edison (SCE),San Bernardino,1.75,1,SUN,5/18/2011 0:00,0,-117.234214,34.08570749
3092,S0195,SPVP022 Redlands,0,Southern California Edison (SCE),San Bernardino,3.09,1,SUN,11/15/2010 0:00,0,-117.2134369,34.08000344
3093,S0198,SPVP028 San Bernardino (Vista 28),0,Southern California Edison (SCE),San Bernardino,4.86,1,SUN,12/20/2011 0:00,0,-117.2743288,34.09483515
