OBJECTID,CECPlantID,PlantName,Retired Plant,Operator Company,County,Capacity_Latest,Units,PriEnergySource,StartDate,CEC_Jurisdictional,x,y,temperature,wind_speed,water_flow,cloud_cover,estimated_output
1999,H0272,Kings River,0,Pacific Gas & Electric (PG&E),Fresno,52.0,Unit 597,WAT,3/7/1962 0:00,0.0,-119.1587471,36.8881288,3.92,3.52,0.0,16,0.0
2000,H0019,Balch #1,0,Pacific Gas & Electric (PG&E),Fresno,34.0,Unit 587,WAT,2/20/1927 0:00,0.0,-119.0877984,36.90908623,1.69,3.91,0.0,13,0.0
2001,H0020,Balch #2,0,Pacific Gas & Electric (PG&E),Fresno,108.0,"Unit 588, Unit 589",WAT,11/26/1958 0:00,0.0,-119.0875575,36.90888501,1.69,3.91,0.0,13,0.0
2002,H0215,Haas,0,Pacific Gas & Electric (PG&E),Fresno,144.0,"Unit 591, Unit 592",WAT,12/23/1958 0:00,0.0,-119.020159,36.92743548,-4.22,4.38,0.0,12,0.0
2003,H0229,Helms (Pumped Storage),0,Pacific Gas & Electric (PG&E),Fresno,1212.0,"Unit 936, Unit 937, Unit 938",WAT,6/30/1984 0:00,0.0,-118.968288,37.02934334,-8.2,4.41,0.0,10,0.0
2004,H0142,Division Creek,0,Los Angeles Department of Water & Power (LADWP),Inyo,0.65,1,WAT,3/1/1909 0:00,0.0,-118.2826035,36.9395073,-2.7,4.05,0.0,100,0.0
2008,S9041,Unified School District Morgan Hill,0,Not Available,Santa Clara,1.0,1,SUN,1/1/2012 0:00,0.0,-121.6353827,37.14906629,6.44,1.54,0.0,100,0.0
2009,H0363,O'Neill (Pumping-Generating),0,United States Bureau of Reclamation,Merced,25.2,"UNIT 1, UNIT 2, UNIT 3, UNIT 4, UNIT 5, UNIT 6",WAT,1/1/1968 0:00,0.0,-121.0171989,37.08730796,6.54,1.98,0.0,12,0.0
2010,H0452,W R Gianelli (Pumping-Generating),0,California Department of Water Resources,Merced,424.0,"1, 2, 3, 4, 5, 6, 7, 8",WAT,6/1/1968 0:00,0.0,-121.0772668,37.06909476,6.2,2.05,0.0,17,0.0
2011,S0443,Quinto Solar PV Project,0,CD Arevon USA Inc.,Merced,108.0,Unit 1,SUN,11/25/2015 0:00,0.0,-121.0476578,37.11933112,6.46,1.93,0.0,13,17.0499816
2012,S9050,Ingomar Packing Co.,0,Not Available,Merced,1.0,1,SUN,1/1/2012 0:00,0.0,-120.9587015,37.1498004,6.69,1.81,0.0,10,0.16352100000000003
2013,S0437,Sun Harvest Solar NDP1,0,SunHarvest Solar,Merced,1.5,Unit 1,SUN,5/1/2015 0:00,0.0,-120.6485377,37.05827445,6.65,3.02,0.0,19,0.22070475000000003
2016,S0421,Adera Solar,0,Adera Solar LLC,Madera,20.0,Unit 1,SUN,12/1/2015 0:00,0.0,-120.323967,37.12104241,6.06,3.42,0.0,14,3.114232
2018,S9164,CA Dept of Corrections Chowchilla,0,Not Available,Madera,3.0,1,SUN,1/1/2013 0:00,0.0,-120.1513192,37.08819051,4.53,1.54,0.0,100,0.0
2019,H0310,Madera Canal (Station 980  1174  1302  1923),0,Madera-Chowchilla Water Power Authority,Madera,3.74,980,WAT,2/1/1985 0:00,0.0,-119.8996402,37.05680053,4.46,1.8,0.0,15,0.0
2020,H0034,Big Creek 4,0,Southern California Edison (SCE),Madera,100.0,1,WAT,9/1/1923 0:00,0.0,-119.4900117,37.13904825,1.35,3.51,0.0,9,0.0
2021,H0265,Kerckhoff PH 1,0,Pacific Gas & Electric (PG&E),Fresno,25.2,"Unit 593, Unit 594, Unit 595",WAT,8/15/1920 0:00,0.0,-119.5527755,37.09246406,2.39,2.72,0.0,22,0.0
2022,H0266,Kerckhoff PH 2,0,Pacific Gas & Electric (PG&E),Fresno,155.0,Unit 932,WAT,5/6/1983 0:00,0.0,-119.5582416,37.07185297,2.35,2.72,0.0,22,0.0
2023,H0448,San Joaquin #1A,0,Pacific Gas & Electric (PG&E),Madera,0.43,1,WAT,3/1/1919 0:00,0.0,-119.4940159,37.15888325,-0.66,3.61,0.0,8,0.0
2024,H0449,San Joaquin #2,0,Pacific Gas & Electric (PG&E),Madera,2.88,1,WAT,9/1/1917 0:00,0.0,-119.4974628,37.20326503,0.41,3.72,0.0,8,0.0
2025,H0570,Wishon Powerhouse,0,Pacific Gas & Electric (PG&E),Madera,12.8,"1, 2, 3, 4",WAT,9/1/1910 0:00,0.0,-119.5047187,37.15101782,1.93,3.34,0.0,22,0.0
2026,H0028,Big Creek 2,0,Southern California Edison (SCE),Fresno,67.1,UNIT 1,WAT,11/26/1913 0:00,0.0,-119.3054651,37.19912318,-3.86,3.66,0.0,4,0.0
2027,H0030,Big Creek 2A,0,Southern California Edison (SCE),Fresno,98.5,UNIT 1,WAT,8/1/1928 0:00,0.0,-119.3061212,37.19884872,-3.86,3.66,0.0,4,0.0
2028,H0032,Big Creek 3,0,Southern California Edison (SCE),Fresno,177.0,UNIT 1,WAT,9/1/1923 0:00,0.0,-119.3864397,37.14856523,1.64,3.67,0.0,2,0.0
2029,H0036,Big Creek 8,0,Southern California Edison (SCE),Fresno,64.5,UNIT 1,WAT,1/1/1921 0:00,0.0,-119.3288572,37.2096453,-2.21,3.63,0.0,4,0.0
2030,H0313,Mammoth Pool,0,Southern California Edison (SCE),Madera,187.0,UNIT 1,WAT,3/1/1960 0:00,0.0,-119.3379096,37.22025922,-2.31,3.64,0.0,2,0.0
2031,H0027,Big Creek 1,0,Southern California Edison (SCE),Fresno,82.9,UNIT 1,WAT,11/1/1913 0:00,0.0,-119.2396923,37.20405923,-7.43,3.73,0.0,7,0.0
2032,H0161,Eastwood (Pumped Storage),0,Southern California Edison (SCE),Fresno,199.0,UNIT 1,WAT,1/1/1988 0:00,0.0,-119.2566818,37.14783118,-9.63,3.7,0.0,7,0.0
2033,H0040,Big Pine,0,Los Angeles Department of Water & Power (LADWP),Inyo,3.2,Unit 1,WAT,7/1/1925 0:00,0.0,-118.3242248,37.14216158,-0.25,4.34,0.0,70,0.0
2034,S9135,Foothill - De Anza Community College District,0,Not Available,Santa Clara,1.6,1,SUN,1/1/2012 0:00,0.0,-122.1247383,37.36314218,6.2,2.57,0.0,20,0.23193600000000006
2035,S9136,Foothill College - Pv Capstone,0,Not Available,Santa Clara,1.7,1,SUN,1/1/2012 0:00,0.0,-122.1302887,37.36369178,6.15,2.57,0.0,20,0.246364
2038,S9005,Google Inc.,0,Not Available,Santa Clara,1.0,1,SUN,1/1/2012 0:00,0.0,-122.0840426,37.4224406,6.7,2.06,0.0,20,0.14536000000000002
2039,S9031,Google Inc.,0,Not Available,Santa Clara,1.0,1,SUN,1/1/2012 0:00,0.0,-122.0844774,37.42144824,6.7,2.06,0.0,20,0.14536000000000002
2040,S9058,West Valley Mission Community College,0,Not Available,Santa Clara,1.0,1,SUN,1/1/2012 0:00,0.0,-122.0128283,37.26429493,6.38,2.06,0.0,40,0.10882800000000001
2041,S9069,Network Appliance/Chevron Energy Solutions,0,Not Available,Santa Clara,1.0,1,SUN,1/1/2012 0:00,0.0,-122.0261095,37.4151352,6.95,2.06,0.0,20,0.14556
2042,S9075,Applied Materials Inc.,0,Not Available,Santa Clara,1.0,1,SUN,1/1/2012 0:00,0.0,-122.0044728,37.3800204,6.96,2.06,0.0,20,0.145568
2043,S9081,Ohlone Community College District,0,Not Available,Santa Clara,1.0,1,SUN,1/1/2012 0:00,0.0,-121.9806871,37.4113706,7.06,2.06,0.0,20,0.145648
